행정구역(시군구)별,총 인구,청년층 총 인구,청년 비율,30대 비율,세대수,청년층 1인 가구,세대수 중 청년층 1인 가구,청년층 의지할 수 있는 주변인 수(평균),학생수,8~19세,15~19세,20~29세,30~39세,40~49세,학생비율
종로구,151291,48835,0.3228,0.4244,75003,12346,0.1646,2.950078003,16452,"12,915","5,861",23416,19943,22231,1.2738
중구,128744,43721,0.3396,0.4919,63686,10155,0.1595,2.968287526,13566,"8,197","3,681",18586,20107,18011,1.6549
용산구,225882,74641,0.3304,0.5301,113093,17969,0.1589,3.418141593,15852,"18,541","8,417",33485,38069,35698,0.8549
성동구,291918,97407,0.3337,0.5037,135870,20619,0.1518,2.721843003,20447,"23,846","10,698",45043,48905,45020,0.8574
광진구,353967,125663,0.355,0.4572,167427,35215,0.2103,3.41322314,28972,"30,694","13,694",62940,55983,52482,0.9438
동대문구,351057,119290,0.3398,0.4326,167598,31265,0.1865,3.009881423,26533,"28,243","12,589",56331,50175,50630,0.9394
중랑구,385663,113467,0.2942,0.5093,185920,19329,0.104,3.018900344,27353,"31,929","14,379",56112,58124,57883,0.8566
성북구,438833,136121,0.3102,0.4423,195396,30601,0.1566,2.882857143,37884,"44,193","19,805",66972,59843,69839,0.8572
강북구,299535,81088,0.2707,0.4723,145896,14642,0.1004,2.728417266,21398,"25,967","11,979",42944,38757,46718,0.8240
도봉구,315979,82745,0.2619,0.4815,139114,9391,0.0675,2.330508475,27661,"30,253","13,924",43412,40993,48535,0.9143
노원구,511982,137442,0.2685,0.4602,218270,18188,0.0833,3.116580311,61078,"61,714","28,961",73182,64740,86240,0.9896
은평구,463102,131562,0.2841,0.5102,213914,22346,0.1045,3.097928437,43300,"45,787","20,599",67058,68502,76628,0.9456
서대문구,317209,105974,0.3341,0.4344,144838,26934,0.186,3.470347648,24144,"28,065","12,707",50356,45109,47487,0.8602
마포구,365612,129653,0.3546,0.4986,178482,37157,0.2082,3.428927681,27821,"33,853","14,602",61904,64486,60995,0.8218
양천구,439068,113030,0.2574,0.499,180633,12612,0.0698,3.090507726,52115,"59,553","26,057",59774,57820,78993,0.8751
강서구,564854,181364,0.3211,0.5386,266982,42160,0.1579,3.232273839,51758,"53,950","23,492",86991,99062,90888,0.9593
구로구,435442,126237,0.2899,0.5507,180531,21584,0.1196,3.462039046,35384,"36,477","15,503",55415,63147,63203,0.9700
금천구,249419,76931,0.3084,0.51,114715,19139,0.1668,3.088791849,16497,"17,489","7,984",37127,35481,32903,0.9432
영등포구,403619,133280,0.3302,0.555,184714,34464,0.1866,2.928753181,25331,"29,393","12,834",59076,69245,56438,0.8618
동작구,392772,133295,0.3394,0.4655,184229,37122,0.2015,3.920277296,29160,"33,312","14,710",66545,62096,58912,0.8753
관악구,502641,202677,0.4032,0.4401,274811,85368,0.3106,2.933014354,30710,"33,769","15,869",109135,86781,68484,0.9094
서초구,401749,112339,0.2796,0.5351,173502,21997,0.1268,2.735812133,43580,"54,302","22,226",55091,63224,77355,0.8025
강남구,508135,147361,0.29,0.5298,234872,36278,0.1545,2.974763407,59344,"69,537","29,996",73940,81838,99266,0.8534
송파구,643288,197032,0.3063,0.5429,281959,35942,0.1275,3.363636364,62219,"71,092","30,007",94119,110590,109299,0.8751
강동구,444434,128388,0.2889,0.5435,196499,19742,0.1005,2.969818913,42374,"46,909","19,640",61457,72086,74044,0.9033
