순,기간,자치구,동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
0,2019,종로구,소계,"39,679","13,356","260,446","146,392","114,054","30,885","75,320","6,540","129,949","1,399","50,352",855,"4,825"
1,2019,중구,소계,"60,127","22,451","392,568","213,484","179,084","47,614","113,743","10,629","220,325","1,197","54,570",687,"3,930"
2,2019,용산구,소계,"20,254","7,074","135,240","74,570","60,670","14,542","34,342","4,616","74,719",627,"21,427",469,"4,752"
3,2019,성동구,소계,"28,343","8,563","178,243","102,769","75,474","19,844","51,464","7,250","99,399",640,"22,747",609,"4,633"
4,2019,광진구,소계,"24,445","8,921","126,305","67,899","58,406","19,828","50,696","3,435","49,280",516,"22,249",666,"4,080"
5,2019,동대문구,소계,"31,324","10,456","138,400","73,067","65,333","26,308","63,629","3,562","40,411",658,"29,030",796,"5,330"
6,2019,중랑구,소계,"28,228","9,519","103,345","53,185","50,160","24,961","59,466","1,947","24,629",484,"15,873",836,"3,377"
7,2019,성북구,소계,"23,617","8,922","111,005","54,975","56,030","20,229","48,948","1,867","25,338",731,"31,717",790,"5,002"
8,2019,강북구,소계,"19,014","7,153","73,904","34,134","39,770","16,654","40,493","1,281","17,474",381,"11,382",698,"4,555"
9,2019,도봉구,소계,"18,628","6,269","72,939","37,598","35,341","16,363","36,212","1,143","17,447",352,"14,228",770,"5,052"
10,2019,노원구,소계,"26,618","9,576","116,684","54,993","61,691","22,790","53,618","2,142","27,927",658,"27,447","1,028","7,692"
11,2019,은평구,소계,"24,681","9,535","93,631","43,830","49,801","21,412","48,586","1,698","19,734",623,"19,996",948,"5,315"
12,2019,서대문구,소계,"20,095","7,500","113,819","55,966","57,853","16,491","37,917","2,235","33,612",735,"38,898",634,"3,392"
13,2019,마포구,소계,"37,290","12,919","247,276","132,558","114,718","26,069","66,963","9,339","150,115","1,064","25,174",818,"5,024"
14,2019,양천구,소계,"25,894","9,745","121,582","63,099","58,483","21,492","51,985","2,940","40,682",495,"21,999",967,"6,916"
15,2019,강서구,소계,"39,458","13,619","257,494","142,209","115,285","29,613","74,637","7,744","149,168",817,"24,645","1,284","9,044"
16,2019,구로구,소계,"38,756","11,511","225,668","128,722","96,946","27,827","66,480","9,249","131,081",710,"20,397",970,"7,710"
17,2019,금천구,소계,"33,814","9,359","242,686","150,589","92,097","20,852","54,372","11,666","172,426",596,"11,558",700,"4,330"
18,2019,영등포구,소계,"42,370","12,971","373,478","217,650","155,828","29,626","72,934","10,472","241,911","1,349","49,883",923,"8,750"
19,2019,동작구,소계,"19,793","7,769","106,159","52,297","53,862","16,518","40,570","1,912","36,071",579,"24,259",784,"5,259"
20,2019,관악구,소계,"25,505","9,687","115,329","59,684","55,645","21,772","55,156","2,160","31,963",638,"21,125",935,"7,085"
21,2019,서초구,소계,"46,940","15,153","438,985","261,147","177,838","28,317","80,767","15,339","296,803","2,240","54,090","1,044","7,325"
22,2019,강남구,소계,"71,027","22,257","698,840","387,884","310,956","39,566","133,158","28,027","492,570","2,237","64,848","1,197","8,264"
23,2019,송파구,소계,"48,644","16,675","341,201","202,213","138,988","34,037","87,468","12,223","202,453","1,127","41,053","1,257","10,227"
24,2019,강동구,소계,"29,080","10,358","141,770","74,700","67,070","24,578","59,518","3,136","58,173",554,"18,948",812,"5,131"
