행정구역별(읍면동),연령별,총인구(명)
서울특별시,15~19세,408748
서울특별시,20~24세,664188
서울특별시,25~29세,835286
서울특별시,30~34세,734952
서울특별시,35~39세,745117
서울특별시,40~44세,709736
서울특별시,45~49세,783563
종로구,15~19세,7656
종로구,20~24세,14111
종로구,25~29세,13997
종로구,30~34세,10662
종로구,35~39세,10065
종로구,40~44세,9778
종로구,45~49세,11923
중구,15~19세,4450
중구,20~24세,10206
중구,25~29세,12010
중구,30~34세,11031
중구,35~39세,10474
중구,40~44세,8842
중구,45~49세,9322
용산구,15~19세,8206
용산구,20~24세,14687
용산구,25~29세,20386
용산구,30~34세,20002
용산구,35~39세,19566
용산구,40~44세,16893
용산구,45~49세,18197
성동구,15~19세,10975
성동구,20~24세,22060
성동구,25~29세,26285
성동구,30~34세,23986
성동구,35~39세,25076
성동구,40~44세,21325
성동구,45~49세,22404
광진구,15~19세,14378
광진구,20~24세,30082
광진구,25~29세,38125
광진구,30~34세,30230
광진구,35~39세,27226
광진구,40~44세,24817
광진구,45~49세,27382
동대문구,15~19세,14063
동대문구,20~24세,34386
동대문구,25~29세,33298
동대문구,30~34세,25564
동대문구,35~39세,26042
동대문구,40~44세,24051
동대문구,45~49세,25745
중랑구,15~19세,14091
중랑구,20~24세,23529
중랑구,25~29세,32150
중랑구,30~34세,28737
중랑구,35~39세,29051
중랑구,40~44세,26773
중랑구,45~49세,29301
성북구,15~19세,22076
성북구,20~24세,39422
성북구,25~29세,36491
성북구,30~34세,28771
성북구,35~39세,31437
성북구,40~44세,31055
성북구,45~49세,36577
강북구,15~19세,11706
강북구,20~24세,19784
강북구,25~29세,23008
강북구,30~34세,18480
강북구,35~39세,19816
강북구,40~44세,20536
강북구,45~49세,24492
도봉구,15~19세,13524
도봉구,20~24세,20421
도봉구,25~29세,22480
도봉구,30~34세,18795
도봉구,35~39세,21049
도봉구,40~44세,21056
도봉구,45~49세,25669
노원구,15~19세,28771
노원구,20~24세,39207
노원구,25~29세,34986
노원구,30~34세,29520
노원구,35~39세,33729
노원구,40~44세,37151
노원구,45~49세,46652
은평구,15~19세,20084
은평구,20~24세,28322
은평구,25~29세,36117
은평구,30~34세,31917
은평구,35~39세,35206
은평구,40~44세,34494
은평구,45~49세,39070
서대문구,15~19세,14203
서대문구,20~24세,29899
서대문구,25~29세,30045
서대문구,30~34세,22811
서대문구,35~39세,23219
서대문구,40~44세,21699
서대문구,45~49세,24592
마포구,15~19세,14435
마포구,20~24세,28241
마포구,25~29세,36762
마포구,30~34세,32439
마포구,35~39세,32211
마포구,40~44세,28399
마포구,45~49세,30541
양천구,15~19세,24745
양천구,20~24세,26991
양천구,25~29세,29635
양천구,30~34세,25835
양천구,35~39세,30569
양천구,40~44세,34866
양천구,45~49세,41644
강서구,15~19세,22213
강서구,20~24세,32286
강서구,25~29세,51403
강서구,30~34세,49112
강서구,35~39세,48563
강서구,40~44세,43714
강서구,45~49세,44189
구로구,15~19세,15441
구로구,20~24세,23454
구로구,25~29세,33270
구로구,30~34세,34218
구로구,35~39세,35295
구로구,40~44세,33009
구로구,45~49세,35110
금천구,15~19세,7947
금천구,20~24세,14256
금천구,25~29세,23442
금천구,30~34세,20596
금천구,35~39세,18637
금천구,40~44세,16491
금천구,45~49세,19510
영등포구,15~19세,12319
영등포구,20~24세,21506
영등포구,25~29세,37810
영등포구,30~34세,38675
영등포구,35~39세,35289
영등포구,40~44세,29358
영등포구,45~49세,30961
동작구,15~19세,15505
동작구,20~24세,31594
동작구,25~29세,39650
동작구,30~34세,31987
동작구,35~39세,30064
동작구,40~44세,28062
동작구,45~49세,29512
관악구,15~19세,16436
관악구,20~24세,41671
관악구,25~29세,71807
관악구,30~34세,50597
관악구,35~39세,38602
관악구,40~44세,32829
관악구,45~49세,35040
서초구,15~19세,20573
서초구,20~24세,23963
서초구,25~29세,28266
서초구,30~34세,28273
서초구,35~39세,31837
서초구,40~44세,34595
서초구,45~49세,37913
강남구,15~19세,27691
강남구,20~24세,30707
강남구,25~29세,38582
강남구,30~34세,37776
강남구,35~39세,40296
강남구,40~44세,43577
강남구,45~49세,48978
송파구,15~19세,28457
송파구,20~24세,38406
송파구,25~29세,51667
송파구,30~34세,51973
송파구,35~39세,54986
송파구,40~44세,51095
송파구,45~49세,53140
강동구,15~19세,18803
강동구,20~24세,24997
강동구,25~29세,33614
강동구,30~34세,32965
강동구,35~39세,36812
강동구,40~44세,35271
강동구,45~49세,35699
읍부,15~19세,6938
읍부,20~24세,6360
읍부,25~29세,7274
읍부,30~34세,8072
읍부,35~39세,12483
읍부,40~44세,14261
읍부,45~49세,12912
면부,15~19세,796
면부,20~24세,1195
면부,25~29세,1497
면부,30~34세,1982
면부,35~39세,2597
면부,40~44세,2139
면부,45~49세,1897
동부,15~19세,136465
동부,20~24세,210492
동부,25~29세,218072
동부,30~34세,182664
동부,35~39세,211982
동부,40~44세,220430
동부,45~49세,245991
중구,15~19세,1195
중구,20~24세,2663
중구,25~29세,3434
중구,30~34세,2404
중구,35~39세,2460
중구,40~44세,2414
중구,45~49세,3059
서구,15~19세,4039
서구,20~24세,7156
서구,25~29세,7004
서구,30~34세,5309
서구,35~39세,6046
서구,40~44세,6477
서구,45~49세,7627
동구,15~19세,2893
동구,20~24세,4476
동구,25~29세,6035
동구,30~34세,5236
동구,35~39세,5435
동구,40~44세,5305
동구,45~49세,6301
영도구,15~19세,5018
영도구,20~24세,8200
영도구,25~29세,6369
영도구,30~34세,4884
영도구,35~39세,5935
영도구,40~44세,6558
영도구,45~49세,8157
부산진구,15~19세,14658
부산진구,20~24세,24856
부산진구,25~29세,28508
부산진구,30~34세,22793
부산진구,35~39세,23798
부산진구,40~44세,23515
부산진구,45~49세,26140
동래구,15~19세,11859
동래구,20~24세,14937
동래구,25~29세,16142
동래구,30~34세,14495
동래구,35~39세,17748
동래구,40~44세,19709
동래구,45~49세,22003
남구,15~19세,12642
남구,20~24세,22704
남구,25~29세,18027
남구,30~34세,13562
남구,35~39세,16743
남구,40~44세,19172
남구,45~49세,21692
북구,15~19세,12120
북구,20~24세,18290
북구,25~29세,19538
북구,30~34세,15836
북구,35~39세,17491
북구,40~44세,18367
북구,45~49세,21373
해운대구,15~19세,19177
해운대구,20~24세,22753
해운대구,25~29세,23543
해운대구,30~34세,20106
해운대구,35~39세,25305
해운대구,40~44세,29329
해운대구,45~49세,34648
사하구,15~19세,14599
사하구,20~24세,20492
사하구,25~29세,20581
사하구,30~34세,17070
사하구,35~39세,20796
사하구,40~44세,21210
사하구,45~49세,24128
금정구,15~19세,11124
금정구,20~24세,21334
금정구,25~29세,17467
금정구,30~34세,12208
금정구,35~39세,13152
금정구,40~44세,14480
금정구,45~49세,16905
강서구,15~19세,4223
강서구,20~24세,5121
강서구,25~29세,8175
강서구,30~34세,12130
강서구,35~39세,17234
강서구,40~44세,13641
강서구,45~49세,9582
연제구,15~19세,8203
연제구,20~24세,12174
연제구,25~29세,13526
연제구,30~34세,12446
연제구,35~39세,14460
연제구,40~44세,14794
연제구,45~49세,16024
수영구,15~19세,5959
수영구,20~24세,9560
수영구,25~29세,13673
수영구,30~34세,11361
수영구,35~39세,11790
수영구,40~44세,11608
수영구,45~49세,12794
사상구,15~19세,8756
사상구,20~24세,15776
사상구,25~29세,16050
사상구,30~34세,12824
사상구,35~39세,13589
사상구,40~44세,13851
사상구,45~49세,15558
기장군,15~19세,7734
기장군,20~24세,7555
기장군,25~29세,8771
기장군,30~34세,10054
기장군,35~39세,15080
기장군,40~44세,16400
기장군,45~49세,14809
읍부,15~19세,10428
읍부,20~24세,12678
읍부,25~29세,14861
읍부,30~34세,17537
읍부,35~39세,22416
읍부,40~44세,21125
읍부,45~49세,19398
면부,15~19세,679
면부,20~24세,898
면부,25~29세,1473
면부,30~34세,1826
면부,35~39세,2044
면부,40~44세,1683
면부,45~49세,1450
동부,15~19세,109631
동부,20~24세,151307
동부,25~29세,146788
동부,30~34세,118659
동부,35~39세,136328
동부,40~44세,152267
동부,45~49세,183818
중구,15~19세,2575
중구,20~24세,5099
중구,25~29세,6720
중구,30~34세,5225
중구,35~39세,5567
중구,40~44세,4884
중구,45~49세,5447
동구,15~19세,13193
동구,20~24세,18416
동구,25~29세,21620
동구,30~34세,20002
동구,35~39세,23286
동구,40~44세,24031
동구,45~49세,25829
서구,15~19세,6369
서구,20~24세,10017
서구,25~29세,11822
서구,30~34세,8807
서구,35~39세,9233
서구,40~44세,9976
서구,45~49세,12767
남구,15~19세,5711
남구,20~24세,10353
남구,25~29세,11051
남구,30~34세,8293
남구,35~39세,8658
남구,40~44세,8827
남구,45~49세,10751
북구,15~19세,24639
북구,20~24세,36905
북구,25~29세,31072
북구,30~34세,25720
북구,35~39세,29425
북구,40~44세,32394
북구,45~49세,39884
수성구,15~19세,25854
수성구,20~24세,27515
수성구,25~29세,24196
수성구,30~34세,18025
수성구,35~39세,23542
수성구,40~44세,31259
수성구,45~49세,40049
달서구,15~19세,31290
달서구,20~24세,43002
달서구,25~29세,40307
달서구,30~34세,32587
달서구,35~39세,36617
달서구,40~44세,40896
달서구,45~49세,49091
달성군,15~19세,11107
달성군,20~24세,13576
달성군,25~29세,16334
달성군,30~34세,19363
달성군,35~39세,24460
달성군,40~44세,22808
달성군,45~49세,20848
읍부,15~19세,1211
읍부,20~24세,1011
읍부,25~29세,1097
읍부,30~34세,894
읍부,35~39세,1205
읍부,40~44세,1354
읍부,45~49세,1718
면부,15~19세,1601
면부,20~24세,2529
면부,25~29세,2879
면부,30~34세,2455
면부,35~39세,2589
면부,40~44세,2907
면부,45~49세,3622
동부,15~19세,134445
동부,20~24세,180356
동부,25~29세,214598
동부,30~34세,191426
동부,35~39세,221949
동부,40~44세,226729
동부,45~49세,246046
중구,15~19세,6642
중구,20~24세,7130
중구,25~29세,11576
중구,30~34세,10176
중구,35~39세,11503
중구,40~44세,12061
중구,45~49세,12019
동구,15~19세,2526
동구,20~24세,3241
동구,25~29세,3355
동구,30~34세,2936
동구,35~39세,4053
동구,40~44세,4694
동구,45~49세,5125
연수구,15~19세,21086
연수구,20~24세,26655
연수구,25~29세,27710
연수구,30~34세,26992
연수구,35~39세,32774
연수구,40~44세,33316
연수구,45~49세,35265
남동구,15~19세,24370
